City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,Stornoway,58.2093,-6.3865,42.04,79,40,13.0,GB,2021-11-24 17:45:56
255,Nemuro,43.3236,145.575,38.43,55,43,12.68,JP,2021-11-24 17:45:56
256,Pangnirtung,66.1451,-65.7125,19.4,79,90,5.75,CA,2021-11-24 17:45:56
257,Shirgaon,19.7,72.7,80.62,65,4,8.21,IN,2021-11-24 17:45:57
258,Morbegno,46.1383,9.57,47.98,90,13,3.49,IT,2021-11-24 17:45:57
259,Husavik,66.0449,-17.3389,24.71,79,100,5.32,IS,2021-11-24 17:45:57
260,Gizo,-8.103,156.8419,81.43,77,77,4.68,SB,2021-11-24 17:45:58
261,Umea,63.8284,20.2597,24.73,93,90,3.44,SE,2021-11-24 17:45:58
262,San Rafael,-34.6177,-68.3301,69.4,67,65,28.74,AR,2021-11-24 17:36:40
263,Hambantota,6.1241,81.1185,78.08,85,100,2.64,LK,2021-11-24 17:45:58
264,Crestview,30.7621,-86.5705,63.81,29,1,1.99,US,2021-11-24 17:42:16
265,Ewo,-0.8725,14.8206,74.25,84,97,1.92,CG,2021-11-24 17:45:59
266,Troitsko-Pechorsk,62.7084,56.1964,1.44,97,89,4.99,RU,2021-11-24 17:45:59
267,Aginskoye,51.1,114.53,4.44,94,79,2.35,RU,2021-11-24 17:46:00
268,Ostrovnoy,68.0531,39.5131,27.64,62,93,19.86,RU,2021-11-24 17:46:00
269,Smithers,54.7804,-127.1743,30.52,86,90,6.91,CA,2021-11-24 17:45:06
270,Zhezkazgan,47.8043,67.7144,37.27,78,100,9.91,KZ,2021-11-24 17:46:01
271,Maumere,-8.6199,122.2111,81.1,76,97,3.15,ID,2021-11-24 17:47:02
272,Massakory,12.996,15.7293,86.02,13,4,10.58,TD,2021-11-24 17:47:02
273,Brookings,44.3114,-96.7984,32.34,84,75,23.02,US,2021-11-24 17:46:54
274,Russell,32.3502,-85.1999,61.38,21,1,10.36,US,2021-11-24 17:47:03
275,Leh,34.1667,77.5833,19.96,73,63,0.76,IN,2021-11-24 17:47:03
276,Beruwala,6.4788,79.9828,76.15,93,99,3.98,LK,2021-11-24 17:47:04
277,Casma,-41.0082,-73.1244,73.45,45,81,1.59,CL,2021-11-24 17:47:04
278,Alekseyevka,50.6309,38.6903,25.0,64,30,11.52,RU,2021-11-24 17:47:05
279,Talnakh,69.4865,88.3972,10.89,94,99,7.58,RU,2021-11-24 17:47:05
280,Thompson,55.7435,-97.8558,-3.84,77,20,13.8,CA,2021-11-24 17:47:05
281,Tautira,-17.7333,-149.15,82.42,77,78,7.94,PF,2021-11-24 17:47:06
282,Bull Savanna,17.8868,-77.5902,82.83,56,99,5.5,JM,2021-11-24 17:47:06
283,Olavarria,-36.8927,-60.3225,96.91,19,0,14.23,AR,2021-11-24 17:47:07
284,Kashan,33.9831,51.4364,57.04,46,7,0.65,IR,2021-11-24 17:47:07
285,Konevo,62.1215,39.3192,23.81,96,100,2.77,RU,2021-11-24 17:47:07
286,Poum,-20.2333,164.0167,76.41,78,20,11.05,NC,2021-11-24 17:47:08
287,Olinda,-8.0089,-34.8553,85.73,66,40,9.22,BR,2021-11-24 17:47:08
288,San Gavino Monreale,39.5514,8.7917,62.46,89,73,4.7,IT,2021-11-24 17:47:09
289,Westport,41.1415,-73.3579,44.28,35,1,3.0,US,2021-11-24 17:43:42
290,Alyangula,-13.8483,136.4192,84.07,70,93,9.22,AU,2021-11-24 17:47:09
291,Caconda,-13.7333,15.0667,68.88,64,73,6.89,AO,2021-11-24 17:47:09
292,Bireun,5.203,96.7009,76.82,87,100,7.54,ID,2021-11-24 17:47:10
293,Seoul,37.5683,126.9778,48.61,81,75,3.44,KR,2021-11-24 17:43:39
